environment,material,location,notes
"marine biome (ENVO:00000447)_water layer with no specific feature_particulate matter\, including plankton (ENVO:xxxxxxxx)",seawater,pelagic,
marine pelagic biome_ocean water_NA,seawater,pelagic,
marine pelagic biome_coastal water body_NA,seawater,coastal,
marine_Deep Chlorophyll Maximum_water,seawater,pelagic,deep
ENVO:00000447_ENVO:01000044_ENVO:00002010,seawater,pelagic,
marine brine pool_brine pool_NA,seawater,coastal,check
marine biome ENVO:00000447 | marine pelagic zone ENVO:00000208_marine pelagic zone ENVO:00000208_NA,seawater,pelagic,
marine biome ENVO:00000447 | marine pelagic zone ENVO:00000208_marine pelagic zone ENVO:00000208 | marine bathypelagic zone ENVO:00000211_NA,seawater,pelagic,
animal-associated habitat(ENVO:00006776)_marine benthic biome(ENVO:01000024)_NA,benthic,coastal,check
marine pelagic biome (ENVO:01000023)_marine pelagic feature (ENVO:01000044)_NA,seawater,pelagic,
Marine biome_Shoreline_NA,seawater,coastal,
"Westerlies Biome_[DCM] deep chlorophyll maximum layer (ENVO:01000326)_particulate matter (ENVO:01000060)\, including planktonic material (ENVO:01000063)",seawater,pelagic,deep
"Polar Biome_[ZZZ] marine water layer (ENVO:01000295)_water (ENVO:00002006)\, including particulate matter (ENVO:01000060) such as planktonic material (ENVO:01000063)",seawater,pelagic,
ENVO:00002149_ENVO:00002149_NA,seawater,pelagic,
marginal sea biome_coastal water_NA,seawater,coastal,
seawater_marine_habitat_NA,seawater,pelagic,
coral reef_marine coral reef biome_NA,seawater,coastal,
ocean_oxygen minimum zone_NA,seawater,pelagic,deep
Marine_Marine_NA,seawater,pelagic,
marine-water_harbor_NA,seawater,coastal,
marine pelagic_continental shelf_NA,seawater,coastal,
marine_ODZ_NA,seawater,pelagic,check
Marine_Oceanic_NA,seawater,pelagic,
marine_oceanic pelagic zone_NA,seawater,pelagic,
coastal marine_seasonally anoxic fjord_NA,seawater,coastal,
estuarine biome_lake_NA,seawater,coastal,
marine biome [ENVO:00000447]_neritic pelagic zone biome [ENVO_01000032]_NA,seawater,coastal,check
marine biome[ENVO:00000447]_marine littoral zone[ENVO:01000125]_NA,seawater,coastal,
YBC-II_artificial_seawater_laboratory culture_NA,lab,NA,
marine ecosystem [ENVO_01001788]_coastal seawater [EVO:000002150]_NA,seawater,coastal,
Ocean_Coastal ocean_NA,seawater,coastal,
marine biome_marine water body_NA,seawater,pelagic,check
ocean biome [ENVO:01000048]_microbial feature [ENVO:01000007]_waterborne particulate matter [ENVO:01000436],substrate,pelagic,check
marine_Black Sea_NA,seawater,pelagic,check
microbial community_coastal shelf | benthic_NA,benthic,coastal,
marine sediment_deep sediment_NA,benthic,coastal,check
ENVO:00002149_ENVO:00002150_NA,seawater,pelagic,check
marine biome [ENVO:00000447]_ocean [ENVO:00000015]_NA,seawater,pelagic,check
marine intertidal biome_near-shore intertidal water column_NA,seawater,coastal,
marine biome [ENVO:00001999]_coastal water body [ENVO:02000049]_NA,seawater,coastal,
marine biome [ENVO:00000447]_microbial feature [ENVO:00002150]_Macroalgae,substrate,coastal,
marine biome [ENVO:00000447]_microbial feature [ENVO:01000007]_coastal sediment [ENVO:03000034],benthic,coastal,
marine biome [ENVO_00000447]|ocean biome [ENVO_01000048]_shoreline [ENVO_00000486]_NA,seawater,coastal,
