PRJNA420897,SRR6344720
PRJNA420897,SRR6344721
PRJNA420897,SRR6344722
PRJNA420897,SRR6344723
PRJNA420897,SRR6344724
PRJNA420897,SRR6344725
PRJNA420897,SRR6344726
PRJNA420897,SRR6344727
PRJNA420897,SRR6344728
PRJNA299757,SRR2837124
PRJNA299757,SRR2837128
PRJNA299757,SRR2837131
PRJNA365775,SRR5279028
PRJNA266688,SRR1699478
PRJNA266687,SRR1699480
PRJNA266633,SRR1699482
PRJNA266685,SRR1699484
PRJNA266679,SRR1699487
PRJNA266678,SRR1699595
PRJNA266677,SRR1699645
PRJNA266676,SRR1699659
PRJNA266674,SRR1700446
PRJNA266673,SRR1700501
PRJNA266672,SRR1700529
PRJNA441608,SRR7058352
PRJNA441607,SRR7058353
PRJNA441611,SRR7058371
PRJNA655018,SRR12613006
PRJNA655021,SRR12613007
PRJNA655020,SRR12613009
PRJNA655019,SRR12613010
PRJNA655022,SRR12613011
PRJNA655023,SRR12613044
PRJNA655024,SRR12613045
PRJNA655029,SRR12613049
PRJNA655028,SRR12613050
PRJNA655025,SRR12613051
PRJNA655030,SRR12613052
PRJNA655031,SRR12613053
PRJNA655026,SRR12613054
PRJNA655027,SRR12613055
PRJNA655107,SRR12613056
PRJNA655032,SRR12613057
PRJNA655034,SRR12613058
PRJNA655036,SRR12613061
PRJNA655038,SRR12613062
PRJNA655037,SRR12613063
PRJNA655035,SRR12613064
PRJNA655033,SRR12613065
PRJNA655006,SRR12613091
PRJNA655011,SRR12613196
PRJNA655014,SRR12613306
PRJNA655012,SRR12613307
PRJNA655015,SRR12613309
PRJNA655013,SRR12613526
PRJNA655039,SRR12613528
PRJNA655040,SRR12613531
PRJNA655041,SRR12613921
PRJNA655041,SRR12613922
PRJNA655042,SRR12613928
PRJNA655042,SRR12613929
PRJNA656268,SRR12479645
PRJNA656268,SRR12479646
PRJNA656268,SRR12479647
PRJNA656268,SRR12479648
PRJNA656268,SRR12479649
PRJNA656268,SRR12479650
PRJNA656268,SRR12479651
PRJNA656268,SRR12479652
PRJNA656268,SRR12479653
PRJNA656268,SRR12479654
PRJNA656268,SRR12479655
PRJNA656268,SRR12479656
PRJNA656268,SRR12479657
PRJNA656268,SRR12479658
PRJNA656268,SRR12479659
PRJNA656268,SRR12479660
PRJNA656268,SRR12479661
PRJNA656268,SRR12479662
PRJNA656268,SRR12479663
PRJNA656268,SRR12479664
PRJNA656268,SRR12479665
PRJNA656268,SRR12479666
PRJNA656268,SRR12479667
PRJNA656268,SRR12479668
PRJNA656268,SRR12479669
PRJNA656268,SRR12479670
PRJNA656268,SRR12479671
PRJNA656268,SRR12479672
PRJNA656268,SRR12479673
PRJNA656268,SRR12479674
PRJNA656268,SRR12479675
PRJNA656268,SRR12479676
PRJNA656268,SRR12479677
PRJNA656268,SRR12479678
PRJNA656268,SRR12479679
PRJNA656268,SRR12479680
PRJNA656268,SRR12479681
PRJNA656268,SRR12479682
PRJNA656268,SRR12479683
PRJNA656268,SRR12479684
PRJNA656268,SRR12479685
PRJNA656268,SRR12479686
PRJNA656268,SRR12479687
PRJNA656268,SRR12479688
PRJNA656268,SRR12479689
PRJNA656268,SRR12479690
PRJNA656268,SRR12479691
PRJNA656268,SRR12479692
PRJNA656268,SRR12479693
PRJNA656268,SRR12479694
PRJNA656268,SRR12479695
PRJNA656268,SRR12479696
PRJNA656268,SRR12479697
PRJNA656268,SRR12479698
PRJNA656268,SRR12479699
PRJNA656268,SRR12479700
PRJNA656268,SRR12479701
PRJNA656268,SRR12479702
PRJNA656268,SRR12479703
PRJNA656268,SRR12479704
PRJNA656268,SRR12479705
PRJNA656268,SRR12479706
PRJNA656268,SRR12479707
PRJNA656268,SRR12479708
PRJNA656268,SRR12479709
PRJNA656268,SRR12479710
PRJNA656268,SRR12479711
PRJNA656268,SRR12479712
PRJNA656268,SRR12479713
PRJNA656268,SRR12479714
PRJNA656268,SRR12479715
PRJNA656268,SRR12479716
PRJNA656268,SRR12479717
PRJNA656268,SRR12479718
PRJNA656268,SRR12479719
PRJNA656268,SRR12479720
PRJNA656268,SRR12479721
PRJNA656268,SRR12479722
PRJNA656268,SRR12479723
PRJNA656268,SRR12479724
PRJNA656268,SRR12479725
