environment,material,location,notes
marine samples from north of cape verde atlantic ocean,water,neritic,check
ocean biome_ocean_NA,water,oceanic,check
ocean_biome_ocean_seawater,water,oceanic,check
ocean biome_marine wind mixed layer_NA,water,oceanic,check
marine net planktonic tow,water,oceanic,check
marine sediment,sediment,neritic,
pelagic ocean biome_shallow ocean water column_NA,water,oceanic,check
deep-sea sediment,sediment,oceanic,
Marine_Gulf of Aqaba_net tow,water,oceanic,check
marine biome [ENVO:00000447]_microbial feature [ENVO:00002150]_coastal sea water [ENVO:00002150]_NA,water,neritic,
ocean_offshore_seawater,water,neritic,
environmental source,,,check
surface water in the sea,water,oceanic,check
Marine metagenome_marine_Seawater_NA,water,oceanic,check
ocean_pelagic_sea water_NA,water,oceanic,check
marine tropical coast,water,neritic,
110 m depth southern ocean,water,oceanic,check
marine biome [ENVO:00000447]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
estuarine biome [ENVO:01000020]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
marginal sea biome [ENVO:01000046]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
coastal wetland ecosystem [ENVO:00000230]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
neritic epipelagic zone biome [ENVO:01000042]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
marine pelagic biome [ENVO:01000023]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
mediterranean sea biome [ENVO:01000047]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
lagoon [ENVO:00000038]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
temperate marine upwelling biome [ENVO:01000860]_microbial community [PCO:1000004]_sea water [ENVO:00002149]_NA,water,oceanic,check
oceanic epipelagic zone biome [ENVO:01000035]_marine pelagic zone [ENVO:00000208]_NA,water,oceanic,check
coastal water mesocosm diesel,water,lab,
coastal water mesocosm control,water,lab,
pristine coastal water,water,neritic,
marine,water,oceanic,check
biofilm scrapped from cow tibia surface after nine month of incubation underwater in a fjord,substrate,neritic,
annelid root tissue scrapped from bone surface after incubation underwater,substrate,neritic,
annelid root tissue scrapped from turkey femur surface after nine month of incubation underwater in a fjord,substrate,neritic,
marine biome_mariculture biome_seawater from mariculture cage of adult gilthead seabream sparus aurata,water,lab,
"Westerlies Biome_[DCM] deep chlorophyll maximum layer (ENVO:01000326)_water (ENVO:00002006)\, including particulate matter (ENVO:01000060) such as planktonic material (ENVO:01000063)_NA",water,oceanic,
"Westerlies Biome_[SRF] surface water layer (ENVO:00010504)_water (ENVO:00002006)\, including particulate matter (ENVO:01000060) such as planktonic material (ENVO:01000063)_NA",water,oceanic,
"Westerlies Biome_[SRF] surface water layer (ENVO:00010504)_particulate matter (ENVO:01000060)\, including planktonic material (ENVO:01000063)_NA",water,oceanic,
"Polar Biome_[DCM] deep chlorophyll maximum layer (ENVO:01000326)_water (ENVO:00002006)\, including particulate matter (ENVO:01000060) such as planktonic material (ENVO:01000063)_NA",water,oceanic,
"Polar Biome_[SRF] surface water layer (ENVO:00010504)_water (ENVO:00002006)\, including particulate matter (ENVO:01000060) such as planktonic material (ENVO:01000063)_NA",water,oceanic,
"Polar Biome_[DCM] deep chlorophyll maximum layer (ENVO:01000326)_particulate matter (ENVO:01000060)\, including planktonic material (ENVO:01000063)_NA",water,oceanic,
"Polar Biome_[SRF] surface water layer (ENVO:00010504)_particulate matter (ENVO:01000060)\, including planktonic material (ENVO:01000063)_NA",water,oceanic,
"marine biome (ENVO:00000447)_surface water layer (ENVO:00002042)_particulate matter\, including plankton (ENVO:xxxxxxxx)_NA",water,oceanic,
"marine biome (ENVO:00000447)_deep chlorophyll maximum layer (ENVO:xxxxxxxx)_particulate matter\, including plankton (ENVO:xxxxxxxx)_NA",water,oceanic,
"marine biome (ENVO:00000447)_water layer with no specific feature_particulate matter\, including plankton (ENVO:xxxxxxxx)_NA",water,oceanic,
marine pelagic biome_ocean water_NA,water,oceanic,
marine pelagic biome_coastal water body_NA,water,neritic,
seawater sample,,,check
oceanic water not far from the shore,water,neritic,
marine_Deep Chlorophyll Maximum_water_NA,water,oceanic,
ENVO:00000447_ENVO:01000044_ENVO:00002010_NA,water,oceanic,
NA,,,check
marine brine pool_brine pool_marine brine pool,water,neritic,
hadal seawater8727m,water,oceanic,check
hadal seawater7200m,water,oceanic,check
abyssalpelagic seawater5367m,water,oceanic,check
bathypelagic seawater3699m,water,oceanic,check
bathypelagic seawater1759m,water,oceanic,check
mesopelagic seawater1000m,water,oceanic,check
surface seawater2m,water,oceanic,check
seawater sample_10,water,oceanic,check
seawater sample_9,water,oceanic,check
seawater sample_8,water,oceanic,check
seawater sample_7,water,oceanic,check
seawater sample_6,water,oceanic,check
seawater sample_46,water,oceanic,check
seawater sample_45,water,oceanic,check
seawater sample_44,water,oceanic,check
seawater sample_43,water,oceanic,check
seawater sample_42,water,oceanic,check
seawater sample_41,water,oceanic,check
seawater sample_5,water,oceanic,check
seawater sample_40,water,oceanic,check
seawater sample_39,water,oceanic,check
seawater sample_38,water,oceanic,check
seawater sample_37,water,oceanic,check
seawater sample_36,water,oceanic,check
seawater sample_35,water,oceanic,check
seawater sample_34,water,oceanic,check
seawater sample_33,water,oceanic,check
seawater sample_32,water,oceanic,check
seawater sample_31,water,oceanic,check
seawater sample_4,water,oceanic,check
seawater sample_30,water,oceanic,check
seawater sample_29,water,oceanic,check
seawater sample_28,water,oceanic,check
seawater sample_27,water,oceanic,check
seawater sample_26,water,oceanic,check
seawater sample_25,water,oceanic,check
seawater sample_24,water,oceanic,check
seawater sample_23,water,oceanic,check
seawater sample_22,water,oceanic,check
seawater sample_21,water,oceanic,check
seawater sample_3,water,oceanic,check
seawater sample_20,water,oceanic,check
seawater sample_19,water,oceanic,check
seawater sample_18,water,oceanic,check
seawater sample_17,water,oceanic,check
seawater sample_16,water,oceanic,check
seawater sample_15,water,oceanic,check
seawater sample_14,water,oceanic,check
seawater sample_13,water,oceanic,check
seawater sample_12,water,oceanic,check
seawater sample_11,water,oceanic,check
seawater sample_2,water,oceanic,check
seawater sample_1,water,oceanic,check
marine biome ENVO:00000447 | marine pelagic zone ENVO:00000208_marine pelagic zone ENVO:00000208_dna:ds viral dna,water,oceanic,check
marine biome ENVO:00000447 | marine pelagic zone ENVO:00000208_marine pelagic zone ENVO:00000208 | marine bathypelagic zone ENVO:00000211_dna:ds viral dna,water,oceanic,check
coastal seawater,water,neritic,
aged seawater collected in june 2010,water,lab,check
seawater incubations started in august 2010,water,lab,check
aged seawater collected in october 2011,water,lab,check
marine metagenomes from <0.6 um incubation experiment,water,lab,check
animal-associated habitat(ENVO:00006776)_marine benthic biome(ENVO:01000024)_NA,substrate,,check
marine pelagic biome (ENVO:01000023)_marine pelagic feature (ENVO:01000044)_NA,water,oceanic,
panama canal,water,neritic,
Marine biome_Shoreline_rocky coast,water,neritic,
"Westerlies Biome_[DCM] deep chlorophyll maximum layer (ENVO:01000326)_particulate matter (ENVO:01000060)\, including planktonic material (ENVO:01000063)_NA",water,oceanic,
"Polar Biome_[ZZZ] marine water layer (ENVO:01000295)_water (ENVO:00002006)\, including particulate matter (ENVO:01000060) such as planktonic material (ENVO:01000063)_NA",water,oceanic,
trichodesmium-associated heterocystous diazotroph hetda enrichment,water,lab,
kongsfjorden arctic,water,neritic,
synechococcus culture from coastal marine water,water,lab,
tt ae m1 feedstock associated aerobic enrichment on miscanthus from sediment taken from thalassia testudinum beds off the bioluminescent bay near la parguera pr,substrate,lab,
ENVO:00002149_ENVO:00002149_50m sea water,water,oceanic,check
ENVO:00002149_ENVO:00002149_25m sea water,water,oceanic,check
ENVO:00002149_ENVO:00002149_100m sea water,water,oceanic,check
ENVO:00002149_ENVO:00002149_75m sea water,water,oceanic,check
ENVO:00002149_ENVO:00002149_surface sea water,water,oceanic,check
marine water,water,oceanic,check
marginal sea biome_coastal water_coastal sea water column he361-02 at a depth of 3m,water,neritic,
marginal sea biome_coastal water_coastal sea water column he361-14 at a depth of 3m,water,neritic,
marginal sea biome_coastal water_coastal sea water column he361-13 at a depth of 3m,water,neritic,
Marine_Water_oil polluted marine water,water,,oil
marine biome_marine biome_mixed water column mediterranean sea,water,oceanic,check
seaweed,substrate,neritic,
pelagic_public,water,oceanic,
metagenome or environmental,,,check
seawater_marine_habitat_NA,water,,check
coral reef_marine coral reef biome_NA,water,neritic,
ocean_oxygen minimum zone_NA,water,oceanic,
ocean_oxygen minimum zone_125 m water sample from station 6,water,oceanic,
scs sea water,water,oceanic,
seawater phytoplankton,water,oceanic,
yellow sea free-living microorganism in bottom water,water,oceanic,
yellow sea particle-associated microorganism in surface water,water,oceanic,
yellow sea free-living microorganism in surface water,water,oceanic,
yellow sea free-living microorganism in sediment,water,oceanic,
yellow sea particle-associated microorganism in bottom water,water,oceanic,
marine hydrothermal sediment,sediment,oceanic,
alviso ponds san francisco ca usa,water,neritic,
Marine_Marine_NA,water,neritic,
norwegian sea atlantic ocean,water,oceanic,
coal oil point santa barbara ca,water,oceanic,
marine-water_harbor_NA,water,neritic,
mariana trench free-living microorganism abyssal water 4000 m,water,oceanic,
mariana trench particle-associated microorganism abyssal water 4000 m,water,oceanic,
mariana trench free-living microorganism in surface water,water,oceanic,
mariana trench particle-associated microorganism in surface water,water,oceanic,
mariana trench particle-associated microorganism hadal water 10400 m,water,oceanic,
mariana trench free-living microorganism hadal water 10500 m,water,oceanic,
mariana trench free-living microorganism hadal water 9600 m,water,oceanic,
mariana trench free-living microorganism hadal water 10400 m,water,oceanic,
mariana trench particle-associated microorganism hadal water 10500 m,water,oceanic,
marine pelagic_continental shelf_marine,water,neritic,
seawater oxygen minimum zone,water,oceanic,
marine biome_seawater_marine water,water,oceanic,check
marine_ODZ_100 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_90 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_120 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_110 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_160 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_140 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_120 m water sample filtered on 30 um supor filter,water,oceanic,check
marine_ODZ_100 m water sample filtered on 30 um supor filter,water,oceanic,check
marine_ODZ_120 m water sample prefiltered with 30 um filter filtered on to 0.2 um supor filter,water,oceanic,check
marine_ODZ_150 m water sample filtered on 30 um supor filter,water,oceanic,check
